Target Word,AI Prediction_Cosine,Hybrid Prediction_Cosine,Rule-Based Prediction,AI Prediction_Euclidean,Hybrid Prediction_Euclidean,Entropy Prediction,Steps
SABİT,SABİT,SABİT,SABİT,SABİT,SABİT,SABİT,5
HARİÇ,AMPER,AMPER,AMPER,AMPER,AMPER,AMPER,1
HARİÇ,KARAA,KIRAY,VARGI,KARAA,KARHA,TARAK,1
HARİÇ,TARİA,LARVA,BARAN,HARİI,HARLI,SARGI,2
HARİÇ,VARİT,HARBİ,ZARİF,HARİT,HARİÇ,BARON,3
HARİÇ,HARİS,HARİS,TARİH,HARİÇ,HARİÇ,FARİL,4
HARİÇ,HARİT,HARİÇ,HARİÇ,HARİÇ,HARİÇ,HARİÇ,5
AÇLIK,KAMİL,KAMİL,KAMİL,KAMİL,KAMİL,KAMİL,1
AÇLIK,ALLAK,ABLAK,ÇOLAK,ALLAK,ABLAK,ASLIK,1
AÇLIK,ANLIK,ANLIK,AÇLIK,ANLIK,ANLIK,AÇLIK,2
AÇLIK,AYLIK,AYLIK,AÇLIK,AYLIK,AYLIK,AÇLIK,3
AÇLIK,AÇLIK,AÇLIK,AÇLIK,AÇLIK,AÇLIK,AÇLIK,4
AÇLIK,AŞLIK,AÇLIK,AÇLIK,AŞLIK,AÇLIK,AÇLIK,5
KURAM,FELEK,FELEK,FELEK,FELEK,FELEK,FELEK,1
KURAM,KAKAA,BAKAM,TAKTİ,KAKAA,KAKMA,KARIN,1
KURAM,KURAM,KURAM,KÜRAR,KUMAM,KUMAN,KURRA,2
KURAM,KURAM,KURAM,KIRAY,KURAM,KURAM,KURAM,3
KURAM,KURAM,KURAM,KURAM,KURAM,KURAM,KURAM,4
KURAM,KURAM,KURAM,KURAM,KURAM,KURAM,KURAM,5
İSYAN,SÜVEN,SÜVEN,SÜVEN,SÜVEN,SÜVEN,SÜVEN,1
İSYAN,AASAN,ASLAN,NİSAN,AASAN,İNSAN,İSYAN,1
İSYAN,İSTAN,İSYAN,İSYAN,İSRAN,İSKAN,İSYAN,2
İSYAN,İSSAN,İSYAN,İSYAN,İSRAN,İSYAN,İSYAN,3
İSYAN,İSSAN,İSYAN,İSYAN,İSYAN,İSYAN,İSYAN,4
İSYAN,İSSAN,İSYAN,İSYAN,İSYAN,İSYAN,İSYAN,5
GİDİŞ,YILAN,YILAN,YILAN,YILAN,YILAN,YILAN,1
GİDİŞ,KERİE,BEKRİ,TEĞET,KERİE,KEBİR,KERİM,1
GİDİŞ,SİTİM,İSTİM,BODUÇ,SİTİM,SİCİM,DİVİT,2
GİDİŞ,DİZİŞ,DİZİŞ,DÜDÜK,ÇİTİT,HİTİT,GİDİŞ,3
GİDİŞ,GİDİŞ,GİDİŞ,HİDİV,ÇİZİŞ,ÇİZİŞ,GİDİŞ,4
GİDİŞ,GİDİŞ,GİDİŞ,GİDİM,DİZİŞ,GİDİŞ,GİDİŞ,5
HAYLİ,SÜTRE,SÜTRE,SÜTRE,SÜTRE,SÜTRE,SÜTRE,1
HAYLİ,KALAK,KALAK,YAĞMA,KALAK,KALAK,KALAN,1
HAYLİ,LAZLI,NAZLI,PAYLI,LAZLI,NAZLI,ZAMLI,2
HAYLİ,MAMLİ,HAYLİ,HAYLİ,MAMLİ,HAYLİ,HAVLU,3
HAYLİ,HAYLİ,HAYLİ,HAYLİ,HAYLİ,HAYLİ,HAYLİ,4
HAYLİ,HAYLİ,HAYLİ,HAYLİ,HAYLİ,HAYLİ,HAYLİ,5
BOYUN,MELİK,MELİK,MELİK,MELİK,MELİK,MELİK,1
BOYUN,SARAA,SAFRA,DÖVÜŞ,SARAA,SARAY,SARAT,1
BOYUN,GÜNUN,BÜTÜN,OTSUZ,YÜYUN,DÜYUN,GÜZÜN,2
BOYUN,BUĞUN,BOYUN,ÇOĞUN,BOYUN,BOYUN,BOYUN,3
BOYUN,BOYUN,BOYUN,BOYUN,BOYUN,BOYUN,BOYUN,4
BOYUN,BOYUN,BOYUN,BOYUN,BOYUN,BOYUN,BOYUN,5
AHLAK,POLAR,POLAR,POLAR,POLAR,POLAR,POLAR,1
AHLAK,SALAK,KALAS,SALAM,SALAK,SALAK,SALAK,1
AHLAK,AKLAK,ABLAK,ALLAH,ANLAK,ANLAK,ABLAK,2
AHLAK,ANLAK,ANLAK,AHLAF,AĞLAK,AĞLAK,AĞLAK,3
AHLAK,AĞLAK,AĞLAK,AHLAT,AĞLAK,AVLAK,AHLAK,4
AHLAK,AHLAK,AHLAK,AHLAK,AĞLAK,AYLAK,AHLAK,5
GURUR,BAŞTA,BAŞTA,BAŞTA,BAŞTA,BAŞTA,BAŞTA,1
GURUR,KELEE,EKLER,DEMRE,KELEE,KELEK,KERİM,1
GURUR,MİMUR,MÜRUR,ORCİK,SİRİN,SİFİN,SORGU,2
GURUR,SORUR,GURUR,RUHLU,GURUR,GURUR,GURUP,3
GURUR,GURUR,GURUR,GURUP,GURUR,GURUR,GURUR,4
GURUR,GURUR,GURUR,GURUR,GURUR,GURUR,GURUR,5
GİYSİ,SASON,SASON,SASON,SASON,SASON,SASON,1
GİYSİ,KESİS,BİKES,TEVSİ,KESİS,LEMİS,TELİS,1
GİYSİ,MİSİİ,GİYSİ,GİYSİ,KİSSİ,GİYSİ,GİYSİ,2
GİYSİ,GİYSİ,GİYSİ,GİYSİ,GİYSİ,GİYSİ,GİYSİ,3
GİYSİ,GİYSİ,GİYSİ,GİYSİ,GİYSİ,GİYSİ,GİYSİ,4
GİYSİ,GİYSİ,GİYSİ,GİYSİ,GİYSİ,GİYSİ,GİYSİ,5
KARIN,EKSER,EKSER,EKSER,EKSER,EKSER,EKSER,1
KARIN,KARAK,KIRCA,KIRAÇ,KARAK,KARIK,KARIK,1
KARIN,KARII,KARGI,KARIŞ,KARIM,KARIŞ,KARIN,2
KARIN,KARIM,KARIK,KARIK,KARIM,KARIN,KARIN,3
KARIN,KARIM,KARIN,KARIN,KARIN,KARIN,KARIN,4
KARIN,KARIN,KARIN,KARIN,KARIN,KARIN,KARIN,5
EŞLİK,KÖFTE,KÖFTE,KÖFTE,KÖFTE,KÖFTE,KÖFTE,1
EŞLİK,EEKEK,ERKEK,GEDİK,EEKEK,ERKEK,ERLİK,1
EŞLİK,EMLİK,EMLİK,EMZİK,EMLİK,EMLİK,ELLİK,2
EŞLİK,EVLİK,EVLİK,EKSİK,EVLİK,EVLİK,EMLİK,3
EŞLİK,EVLİK,ELLİK,ERLİK,EVLİK,ELLİK,EŞLİK,4
EŞLİK,EVLİK,EŞLİK,EVLİK,EVLİK,EŞLİK,EŞLİK,5
KANIT,ÇİLEK,ÇİLEK,ÇİLEK,ÇİLEK,ÇİLEK,ÇİLEK,1
KANIT,KAKAA,BAKAN,KUTAN,KAKAA,KAKAO,KARIN,1
KANIT,KANII,KASNI,KANTO,KARII,KARIN,KANIŞ,2
KANIT,KANIŞ,KANIŞ,KANIT,KANIŞ,KANIŞ,KANIT,3
KANIT,KANIT,KANIT,KANIT,KANIT,KANIT,KANIT,4
KANIT,KANIT,KANIT,KANIT,KANIT,KANIT,KANIT,5
OĞLAN,VATAN,VATAN,VATAN,VATAN,VATAN,VATAN,1
OĞLAN,KEMAN,KEMAN,PİYAN,KEMAN,KEMAN,İMKAN,1
OĞLAN,İİRAN,İSYAN,KIRAN,İİRAN,ŞİRAN,BORAN,2
OĞLAN,DOGAN,DOĞAN,ZEBAN,SOLAN,SOĞAN,OĞLAN,3
OĞLAN,ORLAN,OĞLAN,DUMAN,OLGAN,OĞLAN,OĞLAN,4
OĞLAN,OĞLAN,OĞLAN,SOĞAN,OĞLAN,OĞLAN,OĞLAN,5
MASAL,MİÇEL,MİÇEL,MİÇEL,MİÇEL,MİÇEL,MİÇEL,1
MASAL,MATAL,MASAL,MOĞOL,MATAL,MAHAL,MARAL,1
MASAL,MASAL,MASAL,MUHAL,MASAL,MASAL,MAHAL,2
MASAL,MASAL,MASAL,MAVAL,MASAL,MASAL,MASAL,3
MASAL,MASAL,MASAL,MARAL,MASAL,MASAL,MASAL,4
MASAL,MASAL,MASAL,MASAL,MASAL,MASAL,MASAL,5
ÇAĞRI,UCUBE,UCUBE,UCUBE,UCUBE,UCUBE,UCUBE,1
ÇAĞRI,KARAA,ARAKA,KÜFÜR,KARAA,KARMA,TARAK,1
ÇAĞRI,SARAR,GAROZ,ÇAĞRI,RATIR,ŞATIR,HASIR,2
ÇAĞRI,HATIR,HATIR,ÇAĞRI,SAĞRI,SAĞRI,GAYRI,3
ÇAĞRI,SAĞRI,SAĞRI,ÇAĞRI,ÇAĞRI,ÇAĞRI,ÇAĞRI,4
ÇAĞRI,ÇAĞRI,ÇAĞRI,ÇAĞRI,ÇAĞRI,ÇAĞRI,ÇAĞRI,5
NESİL,İÇKİN,İÇKİN,İÇKİN,İÇKİN,İÇKİN,İÇKİN,1
NESİL,NENİR,SENİT,NADİM,NENİR,NEŞİR,NEFİS,1
NESİL,NESİS,NESİR,NESİH,NESİL,NESİL,NESİH,2
NESİL,NESİL,NESİL,NESİR,NESİL,NESİL,NESİL,3
NESİL,NESİL,NESİL,NESİL,NESİL,NESİL,NESİL,4
NESİL,NESİL,NESİL,NESİL,NESİL,NESİL,NESİL,5
MISIR,DÜYEK,DÜYEK,DÜYEK,DÜYEK,DÜYEK,DÜYEK,1
MISIR,SARAA,VARAN,ARTÇI,SARAA,SARAT,SARAT,1
MISIR,MİTİR,RİTİM,SIFIR,RİSUR,UNSUR,MISIR,2
MISIR,MUMUR,MUZUR,MISIR,MİSIR,MISIR,MISIR,3
MISIR,MICIR,MICIR,MISIR,MISIR,MISIR,MISIR,4
MISIR,MICIR,MISIR,MISIR,MISIR,MISIR,MISIR,5
SOFRA,FERLİ,FERLİ,FERLİ,FERLİ,FERLİ,FERLİ,1
SOFRA,SAFAR,SAFRA,KÜFÜR,SAFAR,SAFRA,SOFRA,1
SOFRA,SOFRA,SOFRA,RAFYA,SOFRA,SOFRA,SOFRA,2
SOFRA,SOFRA,SOFRA,SOFRA,SOFRA,SOFRA,SOFRA,3
SOFRA,SOFRA,SOFRA,SOFRA,SOFRA,SOFRA,SOFRA,4
SOFRA,SOFRA,SOFRA,SOFRA,SOFRA,SOFRA,SOFRA,5
BOMBA,DİKÇE,DİKÇE,DİKÇE,DİKÇE,DİKÇE,DİKÇE,1
BOMBA,SARAA,SAFRA,ANONS,SARAA,SARAT,SARAT,1
BOMBA,TONMA,TONLA,OLMAZ,AOAMA,BOĞMA,YOLMA,2
BOMBA,BOYMA,BOMBA,YOMRA,BOMBA,BOMBA,BOMBA,3
BOMBA,BOMBA,BOMBA,BOMBA,BOMBA,BOMBA,BOMBA,4
BOMBA,BOMBA,BOMBA,BOMBA,BOMBA,BOMBA,BOMBA,5
DÖNÜK,ZIHLI,ZIHLI,ZIHLI,ZIHLI,ZIHLI,ZIHLI,1
DÖNÜK,KARAA,ARAKA,EVDEŞ,KARAA,KARAR,MERAK,1
DÖNÜK,KEKEK,KESEK,DÜYUN,SEKİK,ÇEKİK,TUNİK,2
DÖNÜK,KİMİK,MİNİK,DÖNÜM,SÜNÜK,SÖNÜK,DÖNÜK,3
DÖNÜK,BÜNÜK,DÖNÜK,DÖNÜK,DÖNÜK,DÖNÜK,DÖNÜK,4
DÖNÜK,DÖNÜK,DÖNÜK,DÖNÜK,DÖNÜK,DÖNÜK,DÖNÜK,5
EVLAT,ADSAL,ADSAL,ADSAL,ADSAL,ADSAL,ADSAL,1
EVLAT,İİLAK,LİVAR,KELAM,İİLAK,İLHAK,OTLAK,1
EVLAT,EELAK,EVLAT,EVLAT,MELAN,MULAJ,HİLAT,2
EVLAT,EVLAT,EVLAT,EVLAT,DELAN,TELAŞ,EVLAT,3
EVLAT,EVLAT,EVLAT,EVLAT,EFLAT,EVLAT,EVLAT,4
EVLAT,EVLAT,EVLAT,EVLAT,EFLAT,EVLAT,EVLAT,5
DELİK,KANIT,KANIT,KANIT,KANIT,KANIT,KANIT,1
DELİK,SEKEK,EKSİK,YOKUM,SEKEK,ÇEKEK,MELİK,1
DELİK,ÇELİK,ÇELİK,ÖDLEK,MELİK,MELİK,BELİK,2
DELİK,BELİK,BELİK,DELİK,SELİK,HELİK,ÇELİK,3
DELİK,DELİK,DELİK,DELİK,SELİK,DELİK,DELİK,4
DELİK,DELİK,DELİK,DELİK,DELİK,DELİK,DELİK,5
TÜRKÜ,TONYA,TONYA,TONYA,TONYA,TONYA,TONYA,1
TÜRKÜ,TERİK,TEKİR,TÜMÖR,TERİK,TEREK,TERKİ,1
TÜRKÜ,TIRKK,TIRIK,TÜREV,TÜRKİ,TÜRKİ,TÜRKÜ,2
TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,3
TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,4
TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,TÜRKÜ,5
MARKA,BASYA,BASYA,BASYA,BASYA,BASYA,BASYA,1
MARKA,KARMA,KARMA,HAFTA,KARMA,KARMA,KARMA,1
MARKA,MARKA,MARKA,ÇAKRA,MARKA,MARKA,MARKA,2
MARKA,MARKA,MARKA,KARMA,MARKA,MARKA,MARKA,3
MARKA,MARKA,MARKA,MARKA,MARKA,MARKA,MARKA,4
MARKA,MARKA,MARKA,MARKA,MARKA,MARKA,MARKA,5
ŞARAP,RACON,RACON,RACON,RACON,RACON,RACON,1
ŞARAP,KARAR,KARAR,FARBA,KARAR,KARAR,SARAK,1
ŞARAP,MARAT,HARAM,GARAJ,MARAT,MARAŞ,DARAŞ,2
ŞARAP,SARAT,SARAT,HARAR,ŞARAT,ŞARAP,ŞARAP,3
ŞARAP,BARAJ,BARAJ,YARAK,ŞARAP,ŞARAP,ŞARAP,4
ŞARAP,GARAŞ,GARAZ,TARAŞ,ŞARAP,ŞARAP,ŞARAP,5
ŞÜPHE,ENKAZ,ENKAZ,ENKAZ,ENKAZ,ENKAZ,ENKAZ,1
ŞÜPHE,SEREE,PRESE,SELEF,SEREE,SERÇE,MERET,1
ŞÜPHE,PİPME,ŞÜPHE,DÖVME,GİLME,DİLME,BİLYE,2
ŞÜPHE,TÜPPE,ŞÜPHE,CÜBBE,GÜZCE,CÜBBE,CÜSSE,3
ŞÜPHE,TÜPPE,ŞÜPHE,ŞÜPHE,GÜTTE,GÜFTE,ŞÜPHE,4
ŞÜPHE,TÜPPE,ŞÜPHE,ŞÜPHE,GÜFYE,ŞÜPHE,ŞÜPHE,5
TEMİN,ARSIZ,ARSIZ,ARSIZ,ARSIZ,ARSIZ,ARSIZ,1
TEMİN,KELEK,KELEK,ÇEKÇE,KELEK,KELEK,MELİK,1
TEMİN,MENİİ,YEMİN,YEĞNİ,MENİİ,MENFİ,YETİM,2
TEMİN,DEMİN,DEMİN,CEBİN,NEMİN,YEMİN,TEMİN,3
TEMİN,ZEMİN,TEMİN,PELİN,DEMİN,DEMİN,TEMİN,4
TEMİN,TEMİN,TEMİN,MEŞİN,ZEMİN,TEMİN,TEMİN,5
YAZIN,BATAK,BATAK,BATAK,BATAK,BATAK,BATAK,1
YAZIN,SARİI,SARIZ,YARIM,SARİI,HARİS,HASIR,1
YAZIN,HAZIM,HAZIM,YAZIN,BALII,ÇALIŞ,YAZIN,2
YAZIN,HAZIL,FAZIL,YAZIN,YAĞIM,YAĞIZ,YAZIN,3
YAZIN,NAZIN,YAZIN,YAZIN,YAZIM,YAZIM,YAZIN,4
YAZIN,YAZIN,YAZIN,YAZIN,YAZIN,YAZIN,YAZIN,5
TAYİN,LIKIR,LIKIR,LIKIR,LIKIR,LIKIR,LIKIR,1
TAYİN,SANAA,ABANA,YEGAN,SANAA,SANAT,METAN,1
TAYİN,MANAN,UZMAN,ASYÖN,TATİN,TAYİN,TAHİN,2
TAYİN,BATEN,TANEN,TAYİN,TAYİN,TAYİN,TANİN,3
TAYİN,TATİN,TAHİN,TAYİN,TAYİN,TAYİN,TAYİN,4
TAYİN,TABİN,TAYİN,TAYİN,TAYİN,TAYİN,TAYİN,5
ŞOFÖR,NESİL,NESİL,NESİL,NESİL,NESİL,NESİL,1
ŞOFÖR,KARAA,ARAKA,MAZUR,KARAA,KARAR,TARAK,1
ŞOFÖR,GURUR,GURUR,GÜBÜR,MUTUR,BUĞUR,MUZIR,2
ŞOFÖR,MITÜR,TÜMÜR,KITIR,MITÜR,MÜDÜR,BÖBÜR,3
ŞOFÖR,ÇIĞIR,ÇIĞIR,ŞOFÖR,ÇITIR,ÇIPIR,ŞOFÖR,4
ŞOFÖR,BOZOR,ŞOFÖR,ŞOFÖR,BOTOR,ŞOFÖR,ŞOFÖR,5
DOLAR,ÖDLEK,ÖDLEK,ÖDLEK,ÖDLEK,ÖDLEK,ÖDLEK,1
DOLAR,DALAA,DALAN,DOLMA,DALAA,DALAN,DALMA,1
DOLAR,DOLAR,DOLAR,DOLAY,DOLAR,DOLAR,DOLAP,2
DOLAR,DOLAR,DOLAR,DOLAP,DOLAR,DOLAR,DOLAR,3
DOLAR,DOLAR,DOLAR,DOLAR,DOLAR,DOLAR,DOLAR,4
DOLAR,DOLAR,DOLAR,DOLAR,DOLAR,DOLAR,DOLAR,5
LİMAN,ÇÖKEL,ÇÖKEL,ÇÖKEL,ÇÖKEL,ÇÖKEL,ÇÖKEL,1
LİMAN,SALLA,ALLAH,SALTO,SALLA,SALLI,TALAS,1
LİMAN,LİGAN,LİMAN,AŞILI,ALAAA,ALMAN,İLZAM,2
LİMAN,LİMAN,LİMAN,LİMAN,LİMAN,LİMAN,LİMAN,3
LİMAN,LİMAN,LİMAN,LİMAN,LİMAN,LİMAN,LİMAN,4
LİMAN,LİMAN,LİMAN,LİMAN,LİMAN,LİMAN,LİMAN,5
İDEAL,ÖLÇÜN,ÖLÇÜN,ÖLÇÜN,ÖLÇÜN,ÖLÇÜN,ÖLÇÜN,1
İDEAL,KALAL,KALMA,SALAH,KALAL,KURAL,MALİK,1
İDEAL,AEAAL,UZZAL,TOPAL,İASAL,İBZAL,İSHAL,2
İDEAL,İETAL,RİYAL,İCMAL,İHSAL,İHMAL,İBZAL,3
İDEAL,İTSAL,İPTAL,İŞGAL,İŞTAL,İŞGAL,İDEAL,4
İDEAL,İCSAL,İSHAL,İKBAL,İTTAL,İPTAL,İDEAL,5
NAMAZ,ENAYİ,ENAYİ,ENAYİ,ENAYİ,ENAYİ,ENAYİ,1
NAMAZ,KANAN,AKSAN,HATUN,KANAN,KAŞAN,KANAT,1
NAMAZ,NANAT,MANAV,BANKA,NANAL,BANAL,NAZAL,2
NAMAZ,NAMAM,NAMAZ,NAŞAD,NAZAR,NAZAR,NAMAZ,3
NAMAZ,NAMAZ,NAMAZ,NAZAR,NASAZ,NAMAZ,NAMAZ,4
NAMAZ,NAMAZ,NAMAZ,NAMAZ,NAMAZ,NAMAZ,NAMAZ,5
REFAH,ERVAH,ERVAH,ERVAH,ERVAH,ERVAH,ERVAH,1
REFAH,FERAH,FERAH,FERAH,FERAH,FERAH,FERAH,1
REFAH,REFAH,REFAH,REFAH,REFAH,REFAH,REFAH,2
REFAH,REFAH,REFAH,REFAH,REFAH,REFAH,REFAH,3
REFAH,REFAH,REFAH,REFAH,REFAH,REFAH,REFAH,4
REFAH,REFAH,REFAH,REFAH,REFAH,REFAH,REFAH,5
ÇEKİM,TUFAN,TUFAN,TUFAN,TUFAN,TUFAN,TUFAN,1
ÇEKİM,KEREK,ERKEK,YÜZEY,KEREK,HEREK,KERİM,1
ÇEKİM,SEKİE,ÇEKÜL,VERME,KEKİİ,VEKİL,ÇEKİM,2
ÇEKİM,ÇEKİŞ,ÇEKİŞ,CESİM,ÇEKİM,ÇEKİM,ÇEKİM,3
ÇEKİM,ÇEKİŞ,ÇEKİÇ,ÇELİM,ÇEKİM,ÇEKİM,ÇEKİM,4
ÇEKİM,ÇEKİM,ÇEKİM,ÇEKİM,ÇEKİM,ÇEKİM,ÇEKİM,5
KUCAK,ARGIN,ARGIN,ARGIN,ARGIN,ARGIN,ARGIN,1
KUCAK,KALAA,MAFYA,KAPAK,KALAA,KALMA,MALAK,1
KUCAK,İELAK,İHALE,KULAK,KOVAK,KOÇAK,SUDAK,2
KUCAK,KUKAK,KUCAK,KUCAK,KUVAK,KUCAK,YUTAK,3
KUCAK,KUCAK,KUCAK,KUCAK,KUCAK,KUCAK,BUCAK,4
KUCAK,KUCAK,KUCAK,KUCAK,KUCAK,KUCAK,KUCAK,5
YÜZEY,ÇEPİN,ÇEPİN,ÇEPİN,ÇEPİN,ÇEPİN,ÇEPİN,1
YÜZEY,EÜLEE,ESEME,DÜLEK,EÜLEE,ESMER,KAMER,1
YÜZEY,EALEK,GAZEL,YÜZER,GÜLEK,KÜLEK,TÜZEL,2
YÜZEY,GÜZEK,DÜZEY,YÜZEY,GÜVEY,GÜVEY,DÜZEY,3
YÜZEY,DÜZEY,YÜZEY,YÜZEY,GÜZEY,YÜZEY,GÜZEY,4
YÜZEY,YÜZEY,YÜZEY,YÜZEY,YÜZEY,YÜZEY,YÜZEY,5
HAVUZ,UMACI,UMACI,UMACI,UMACI,UMACI,UMACI,1
HAVUZ,KARAA,KURYA,YUVAK,KARAA,KURYA,TURNA,1
HAVUZ,AAVUT,TAVUS,HAVUÇ,AAVUT,HAVUT,LAVUK,2
HAVUZ,HAVUL,HAVUZ,HAVUZ,HAVUL,HAVUÇ,HAVUÇ,3
HAVUZ,HAVUZ,HAVUZ,HAVUZ,HAVUL,HAVUZ,HAVUZ,4
HAVUZ,HAVUZ,HAVUZ,HAVUZ,HAVUZ,HAVUZ,HAVUZ,5
TUTKU,ŞERİT,ŞERİT,ŞERİT,ŞERİT,ŞERİT,ŞERİT,1
TUTKU,TATAA,HATTA,TALAN,TATAA,TATMA,TALAK,1
TUTKU,TÜTUÜ,TÜTSÜ,TIPKI,TUTLÜ,TUTUK,TIKIZ,2
TUTKU,TUTUU,TUTKU,TUTKU,TUTKU,TUTKU,TUTKU,3
TUTKU,TUTKU,TUTKU,TUTKU,TUTKU,TUTKU,TUTKU,4
TUTKU,TUTKU,TUTKU,TUTKU,TUTKU,TUTKU,TUTKU,5
DAMAR,EVHAM,EVHAM,EVHAM,EVHAM,EVHAM,EVHAM,1
DAMAR,MAMAK,MAMAK,MAZAK,MAMAK,MAMAK,ANMAK,1
DAMAR,DAMAN,SAMAN,ŞAMAR,DAMAN,DAMAT,ÇAMAŞ,2
DAMAR,DAMAR,DAMAR,DAMAR,DAMAN,DAMAR,DAMAL,3
DAMAR,DAMAR,DAMAR,DAMAR,DAMAR,DAMAR,DAMAR,4
DAMAR,DAMAR,DAMAR,DAMAR,DAMAR,DAMAR,DAMAR,5
DENEY,TUTMA,TUTMA,TUTMA,TUTMA,TUTMA,TUTMA,1
DENEY,KELEK,KELEK,ESİRE,KELEK,KELEK,SERİK,1
DENEY,SERER,GEREN,KEVEL,SERER,SEREN,BELEN,2
DENEY,NENES,NEFES,HEZEN,NENEY,DENEY,DENEY,3
DENEY,DENEY,DENEY,DENEY,DENEY,DENEY,DENEY,4
DENEY,DENEY,DENEY,DENEY,DENEY,DENEY,DENEY,5
YIĞIN,İVMEK,İVMEK,İVMEK,İVMEK,İVMEK,İVMEK,1
YIĞIN,SARAA,ACARA,GÖZLÜ,SARAA,SARAÇ,TARLA,1
YIĞIN,SÜLUÜ,GÜÇLÜ,YIĞIŞ,GÜLUÜ,GÜLCÜ,SÜNGÜ,2
YIĞIN,SONUN,TOSUN,YIĞIN,TONUN,DONUT,BOYUN,3
YIĞIN,BIĞIN,ZIBIN,YIĞIN,NIGIN,YIĞIN,YIĞIN,4
YIĞIN,YIĞIN,YIĞIN,YIĞIN,YIĞIN,YIĞIN,YIĞIN,5
STATÜ,TRANS,TRANS,TRANS,TRANS,TRANS,TRANS,1
STATÜ,ATATA,STATÜ,SLAYT,ATATA,STATÜ,SLAYT,1
STATÜ,STATO,STATÜ,STATÜ,STATO,STATÜ,STATÜ,2
STATÜ,STATI,STATÜ,STATÜ,STATI,STATÜ,STATÜ,3
STATÜ,STATI,STATÜ,STATÜ,STATI,STATÜ,STATÜ,4
STATÜ,STATI,STATÜ,STATÜ,STATI,STATÜ,STATÜ,5
SAHİL,ÇAKER,ÇAKER,ÇAKER,ÇAKER,ÇAKER,ÇAKER,1
SAHİL,SALAA,SALYA,DATİF,SALAA,SALYA,SALAT,1
SAHİL,SANLI,SANLI,BASİL,SANLI,SANLI,SANLI,2
SAHİL,SAVİL,SAHİL,SAHİL,SAVİL,SAHİL,SAHİL,3
SAHİL,SAHİL,SAHİL,SAHİL,SAHİL,SAHİL,SAHİL,4
SAHİL,SAHİL,SAHİL,SAHİL,SAHİL,SAHİL,SAHİL,5
TAKSİ,VERİŞ,VERİŞ,VERİŞ,VERİŞ,VERİŞ,VERİŞ,1
TAKSİ,İİLAİ,İLAHİ,KİLSİ,İİLAİ,MİLAT,LİSAN,1
TAKSİ,AANTİ,MANTİ,MAKSİ,AAATİ,JANTİ,HAMSİ,2
TAKSİ,TATTİ,TAKSİ,TAKSİ,TAHTİ,TAKSİ,TAKSİ,3
TAKSİ,TAKSİ,TAKSİ,TAKSİ,TAKSİ,TAKSİ,TAKSİ,4
TAKSİ,TAKSİ,TAKSİ,TAKSİ,TAKSİ,TAKSİ,TAKSİ,5
GÜNAH,KURYE,KURYE,KURYE,KURYE,KURYE,KURYE,1
GÜNAH,SALAA,AMALI,PİLİÇ,SALAA,SALPA,SALİM,1
GÜNAH,HANAA,PASİF,TÜVAN,AİNAN,MİZAN,TOZAN,2
GÜNAH,TONAA,TONAJ,GÜNAH,NONAT,TONAJ,GÜNAH,3
GÜNAH,DÜNAN,GÜNAH,GÜNAH,DINAV,ŞINAV,GÜNAH,4
GÜNAH,GÜNAH,GÜNAH,GÜNAH,DÜNAH,GÜNAH,GÜNAH,5
BUNCA,NECAT,NECAT,NECAT,NECAT,NECAT,NECAT,1
BUNCA,CANCA,ÇANCI,CANİP,CANCA,KANCA,YANCI,1
BUNCA,SONCA,GONCA,YONCA,CONCA,GONCA,BUNCA,2
BUNCA,KUNCA,ŞUNCA,ŞUNCA,SUNCA,BUNCA,BUNCA,3
BUNCA,KUNCA,BUNCA,BUNCA,BUNCA,BUNCA,BUNCA,4
BUNCA,BUNCA,BUNCA,BUNCA,BUNCA,BUNCA,BUNCA,5
DARAL,USKUR,USKUR,USKUR,USKUR,USKUR,USKUR,1
DARAL,AARAA,ACARA,TRATA,AARAA,DARCA,MİRAT,1
DARAL,MARAN,GARAJ,GARAJ,DARAN,DARAŞ,FARAŞ,2
DARAL,MARAN,MARAŞ,MARAL,DARAN,DARAÇ,BARAN,3
DARAL,TARAN,TARAZ,DARAL,DARAN,DARAL,DARAÇ,4
DARAL,BARAN,BARAN,DARAL,DARAL,DARAL,DARAL,5
SUBAY,KIYAM,KIYAM,KIYAM,KIYAM,KIYAM,KIYAM,1
SUBAY,YALAY,YASAL,YUNAN,YALAY,YALAZ,YARAN,1
SUBAY,SERAY,SUBAY,TUGAY,DİNAY,DETAY,DOLAY,2
SUBAY,SUBAY,SUBAY,SUBAY,DİNAY,GİRAY,SUBAY,3
SUBAY,SUBAY,SUBAY,SUBAY,DONAY,SUBAY,SUBAY,4
SUBAY,SUBAY,SUBAY,SUBAY,SUBAY,SUBAY,SUBAY,5
DANIŞ,ÜLFET,ÜLFET,ÜLFET,ÜLFET,ÜLFET,ÜLFET,1
DANIŞ,KARAA,ARAKA,CİMRİ,KARAA,KARAR,SARAK,1
DANIŞ,SANAN,MAHIV,AKBAŞ,SANII,SAĞIN,HANIM,2
